signature;translation;speech part;transcription;synonyms;sentences;groups
spiny;"колкий, колючий; покрытый шипами или иглами";adjective;;;Its spiny wings were huge compared to its skinny jet body, it had a long snout with wide nostrils, the stubs of horns and bulging, orange eyes.;HARRY POTTER AND THE SORCERER'S STONE (book)
spite;"злоба, злость; озлобленность";noun;;malice;"""That's a broomstick,"" he said, throwing it back to Harry with a mixture of jealousy and spite on his face.";HARRY POTTER AND THE SORCERER'S STONE (book)
splash;"брызгать; брызгаться; забрызгивать";verb;;splatter;;
splatter;"брызгать; забрызгивать; разбрызгивать";verb;;splash;Spray from the high waves splattered the walls of the hut and a fierce wind rattled the filthy windows.;HARRY POTTER AND THE SORCERER'S STONE (book)
splendid;"1) блестящий; отличный; великолепный; 2) первоклассный;  превосходный";adjective;;ace, glorious, magnificent, superior;But if they could fast prodigiously, they could feed prodigiously, and soon a few scattered bones were all that remained of the splendid live brute that had faced the pack a few hours before. | Since 1888 we have been molding boys into splendid, clear-thinking young men.;appearance
split second;"доля секунды; мгновение ока (a very short moment of time)";noun;;;His broom gave a sudden, frightening lurch. For a split second, he thought he was going to fall.;HARRY POTTER AND THE SORCERER'S STONE (book)
split up;"ссориться; утрачивать единство; расходиться";phrase;;;You know I'm going out with Kevin. It's nearly six months since I split up with Max.;LANGUAGE COURSES, phrasal verbs, relationship
spokesman;представитель, делегат;noun;;;Penguin spokesman Yvonne Hunter confirmed the news.;LANGUAGE COURSES, work
spook;"привидение; призрак";noun;;;He looked sort of spooky in the dark.;THE CATCHER IN THE RYE (book)
spot;"1) покрывать пятнами, пятнать; пачкать; позорить; 2) увидеть, заметить, узнать";verb;;blot, smudge, stain;At the foot of the first set of stairs, they spotted Mrs. Norris skulking near the top. | Based on our original example of an asynchronous file read, can you spot a flaw in the following piece of code?;
spout;бить струей, струиться;verb;;spurt, squirt;;violence
spray;брызги;noun;;;Spray from the high waves splattered the walls of the hut and a fierce wind rattled the filthy windows.;HARRY POTTER AND THE SORCERER'S STONE (book)
spring;"1) прыжок, скачок; 2) родник, ключ, источник; 3) пружина; 4) весна";noun;;bound, fount, frisk, hop, jump, leap, skip;He leaped with a terrific energy, doubled like a spring, attained speed, and moved with effortless beauty.;
spring a surprise on smb.;преподнести сюрприз кому-л.;phrase;;;Don't let anyone see you as I want to spring a surprise on them.;LANGUAGE COURSES, relationship
springboard;трамплин (для чего-л.);noun;;;When exploring some of the layouts, we'll hit upon examples that are verbose, and thus lengthy, and can serve as a great springboard or starting point for your lay-out endeavors.;INFORMATION TECHNOLOGIES
spring up;"возникать; появляться";phrase;;appear, arise, emerge;Within seconds, the whole class was standing on their stools while Neville, who had been drenched in the potion when the cauldron collapsed, moaned in pain as angry red boils sprang up all over his arms and legs.;HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
spruce;"ель; хвойное дерево";noun;;;We found a tin plate and fork, by the big camp-fire, and wrapped in a piece of canvas in a spruce was a hunk of bacon.;plants, REPEATING
spurt;бить струей, хлынуть;verb;;spout, squirt;A fount of blood spurted from its throat.;violence
squabble;ссориться, скандалить, пререкаться из-за пустяков;verb;;bicker;She was thrilling to a desire that urged her to go forward, to be in closer to that fire, to be squabbling with the dogs, and to be avoiding and dodging the stumbling feet of men.;WHITE FANG (book)
squashy;"1) мягкий, мясистый; сочный; 2) топкий, вязкий";adjective;;;The Gryffindor common room was a cozy, round room full of squashy armchairs.;HARRY POTTER AND THE SORCERER'S STONE (book)
squat;"приземистый и коренастый; низкий и широкий";adjective;;dumpy, thickset;Madam Malkin was a squat, smiling witch dressed all in mauve.;appearance, HARRY POTTER AND THE SORCERER'S STONE (book)
squawk;вопить, пронзительно кричать (utter a harsh abrupt scream);verb;;screech;"""Who's there?"" squawked the Fat Lady.";HARRY POTTER AND THE SORCERER'S STONE (book), sounds
squeal;визжать, визгливо произносить (utter a high-pitched cry, characteristic of pigs);verb;;;The brakes squealed as the van rounded the corner. | We could hear the piglets squealing as we entered the farmyard.;sounds
squeeze;"1) давить, сжимать, сдавливать; 2) вымогать, выжимать (что-л. из кого-л.)";verb;;;He squeezed from his friends the last drop of thier generosity. | He stuck around till around dinnertime, talking about all the guys at Pencey that he hated their guts, and squeezing this big pimple on his chin. | Ron and Hermione squeezed together to give Hagrid enough space to join them. | The giant squeezed his way into the hut, stooping so that his head just brushed the ceiling.;REPEATING, THE CATCHER IN THE RYE (book), самые сложные слова
squid;кальмар;noun;;;The Weasley twins and Lee Jordan were tickling the tentacles of a giant squid, which was basking in the warm shallows.;fish, HARRY POTTER AND THE SORCERER'S STONE (book)
squint;"щурить (глаза от избытка света и т. п.); щуриться, жмуриться";verb;;;Hermione, who had all her fingers crossed in her lap, was squinting fixedly at Harry, who was circling the game like a hawk, looking for the Snitch.;glance, HARRY POTTER AND THE SORCERER'S STONE (book)
squirt;"бить струей; пускать струю";verb;;spout, spurt;Anyway, first he'd take a swallow and squirt it all over her, then she did it to him - they took turns, for God's sake. | I saw a man and a woman squirting water out of their mouths at each other.;THE CATCHER IN THE RYE (book), violence
stab;"наносить удар (ножом, кинжалом), ранить (ножом, кинжалом); вонзать, кольнуть";verb;;;to stab in the back[всадить нож в спину];arms, striking (verbs)
stable;"1) устойчивый, стабильный, постоянный; 2) твердый, прочный, крепкий";adjective;;fast, firm, steady, strong, tough;;
stack;"1) an orderly pile; 2) куча; кипа; груда";noun;;;"A hundred fat, roast turkeys; mountains of roast and boiled potatoes; platters of chipolatas; tureens of buttered peas, silver boats of thick, rich gravy and cranberry sauce - and stacks of wizard crackers every few feet along the table. | And she pulled a heavy book from the stack on the mantelpiece. | The sun shone brightly on a stack of cauldrons outside the nearest shop.";HARRY POTTER AND THE SORCERER'S STONE (book)
staffroom;учительская;noun;;;He made his way down to the staffroom and knocked.;HARRY POTTER AND THE SORCERER'S STONE (book)
stagger;"идти шатаясь, шататься; заплетаться, покачиваться";verb;;reel;Staggering slightly under their weight, he managed to make his way out of the limelight to the edge of the room, where Ginny was standing next to her new cauldron.;moving (verbs)
stain;"пятнать, пачкать; портить; позорить";verb;;blot, smudge, spot;;
stalagmite;сталагмит (a cylinder of calcium carbonate projecting upward from the floor of a limestone cave);noun;stəˈlægmaɪt;;They plunged even deeper, passing an underground lake where huge stalactites and stalagmites grew from the ceiling and floor.;HARRY POTTER AND THE SORCERER'S STONE (book)
stale;"несвежий; черствый; засохший";adjective;;moldy, putrid;They ate stale cornflakes and cold tinned tomatoes on toast for breakfast the next day.;HARRY POTTER AND THE SORCERER'S STONE (book)
stammer;"заикаться; запинаться (speak haltingly)";verb;;falter, stutter;He couldn't stop stammering his thanks, sounding just like Professor Quirrell.;HARRY POTTER AND THE SORCERER'S STONE (book)
stampede;обращаться в паническое бегство, кидаться врассыпную;verb;stæmˈpiːd;;"There was a yell of, ""Get him, Dad!"" from Fred or George; Mrs. Weasley was shrieking, ""No, Arthur, no!""; the crowd stampeded backward, knocking more shelves over.";fear, HARRY POTTER AND THE CHAMBER OF SECRETS (book)
stand;"1) стоять; 2) выдерживать, выносить, терпеть; 3) быть определённого роста; достигать определённой высоты";verb;;bear, endure, make up, put up with;Commissioned by the Royal Society of Arts, the sculpture stands 24 feet (7 metres) high beside the river Thames in London. | Even without his shoes he stood over two metres tall. | If you want to know the truth, I can't even stand ministers. | It was a magnificent mirror, as high as the ceiling, with an ornate gold frame, standing on two clawed feet. There was an inscription carved around the top.;appearance, LANGUAGE COURSES
standard of living;жизненный уровень, уровень жизни;noun;;;The standard of living in many developing countries is low.;LANGUAGE COURSES
stand out;выделяться, выступать (to be very noticeable);phrase;;;He looked carefully at Harry, his eyes lingering on the scar that stood out, livid, on Harry's forehead.;HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
stand up to smb.;противиться, сопротивляться (to defend yourself against a powerful person or organization when they treat you unfairly);phrase;;;"""So you mean the Stone's only safe as long as Quirrell stands up to Snape?"" said Hermione in alarm. | ""You've got to stand up to him, Neville!"" said Ron.";HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
stare;пристально смотреть, глазеть, пялиться;verb;;gaze;Ron, though, was staring transfixed at his image. | The hundreds of faces staring at them looked like pale lanterns in the flickering candlelight.;glance
starter;первое блюдо, подаваемой во время трапезы;noun;;;We had soup as a starter.;LANGUAGE COURSES, meal
start from scratch;"начинать с нуля; на пустом месте";phrase;;;I built every bit of my own house. I started from scratch and did everything with my own hands.;idioms, LANGUAGE COURSES, work
startle;испугать, напугать (to do something unexpected which surprises and sometimes worries a person or animal);verb;;;The noise of the car startled the birds and the whole flock flew up into the air.;fear, сложные слова
start out;начинать профессиональную деятельность;phrase;;;First-born children are difficult to classify because they started out as only children but later give up that position.;LANGUAGE COURSES, phrasal verbs
starvation;голодание, голод;noun;;famine, hunger;;
starve;умирать от голода (have a craving, appetite, or great desire for) ;verb;;;"""Starving,"" said Harry, taking a large bite out of a pumpkin pasty.";HARRY POTTER AND THE SORCERER'S STONE (book)
stead;"1) место; 2) земельная собственность, имение, ферма";noun;;;in smb.'s stead[вместо кого-л.];
steady;"1) прочный, твердый; 2) устойчивый, постоянный";adjective;;fast, firm, stable, strong, tough;Harry made a sharp about-face and held the broom steady.;
steady;"укреплять; придавать устойчивость";verb;;;Now I was on the way to the bathroom to get a good shot of bourbon or something to steady my nerves and help me really go into action.;THE CATCHER IN THE RYE (book)
steal;"1) воровать, красть; 2) делать незаметно; делать украдкой";verb;;sneak, thieve;"British police say two robbers broke into an elderly woman's home, stole money and then snapped the neck of her pet budgerigar in front of her. | He was sacked after he was caught stealing office equipment. | ""Well, it's true,"" Harry chortled as they reached the top of the marble staircase, ""If he hadn't stolen Neville's Remembrall I wouln't be on the team...""";fraud
steamroller;подавлять, сокрушать;verb;;;You missed the last Quidditch match, we were steamrollered by Ravenclaw without you.;HARRY POTTER AND THE SORCERER'S STONE (book)
steel oneself;"ожесточать; придавать силу, решимость (to force yourself to get ready to do something unpleasant or difficult)";phrase;;pluck up one's courage;But Neville was clearly steeling himself to do something desperate.;HARRY POTTER AND THE SORCERER'S STONE (book), idioms
step out of line;to behave in a way that is unacceptable or not expected;phrase;;;Step out of line one more time Peters, and you're fired!;education, LANGUAGE COURSES
stern;"суровый; строгий; твердый, непреклонный";adjective;;rigid, severe, strict;;
stick;"1) втыкать, вкалывать, вонзать, колоть; 2) наклеивать, приклеивать, прилеплять; 3) завязнуть, застрять";verb;;pierce, prick, prod;A lot of the greatest wizards haven't got an ounce of logic, they'd be stuck in here forever. | Professor McGonagall flinched, but Dumbledore, who was unsticking two lemon drops, seemed not to notice. | We are stuck here![Мы застряли здесь!];
stick out;"высовываться; торчать";phrase;;;His broom was old and some of the twigs stuck out at odd angles. | She was wearing a flowered apron with a wand sticking out of the pocket.;HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
stick to one's guns;настоять на своем, не сдавать позиций (to maintain one's position especially in face of opposition);phrase;;;Despite harsh criticism, she's sticking to her guns on this issue.;idioms, LANGUAGE COURSES
stick to the point;держаться ближе к делу;phrase;;;I like somebody to stick to the point and all. But I don't like them to stick too much to the point. | The boys that got the best marks in Oral Expression were the ones that stuck to the point all the time.;idioms, THE CATCHER IN THE RYE (book)
stifle;"1) душить, задыхаться; 2) подавлять, глушить; 3) тушить, гасить";verb;;choke, smother, throttle;;violence
stifling;душный;adjective;ˈstaɪflɪŋ;;Being the youngest in the family can sometimes be a stifling and frustrating experience, especially if they're looking to be taken seriously and treated like an adult. | I set out leather cushions and festoons of flowers for each guest, and jars of perfumed oil to cool them in the stifling night and drive away the mosquitoes.;LANGUAGE COURSES
still;"неподвижный; спокойный; тихий, бесшумный";adjective;;calm, quiet;;
stock up on smth.;запасаться (to buy a large quantity of something);phrase;;;In Gambol and Japes Wizarding Joke Shop, they met Fred, George, and Lee Jordan, who were stocking up on Dr. Filibuster's Fabulous Wet Start, No Heat Fireworks.;HARRY POTTER AND THE CHAMBER OF SECRETS (book), phrasal verbs
stoke;"поддерживать огонь (в топке); забрасывать топливо; топить";verb;;;He was humming merrily as he stoked the fire.;HARRY POTTER AND THE SORCERER'S STONE (book)
stomp;топать (to walk with intentionally heavy steps, especially as a way of showing that you are annoyed);verb;;;Hermione was stomping up the stairs, looking disapprovingly at the package in Harry's hand.;HARRY POTTER AND THE SORCERER'S STONE (book), moving (verbs)
stoop;"сутулить(ся); горбиться; наклоняться, нагибаться";verb;;bend, bow, crouch, lean;I mean he was all stooped over, and he had very terrible posture. | The giant squeezed his way into the hut, stooping so that his head just brushed the ceiling.;THE CATCHER IN THE RYE (book)
stopper;"1) закупоривать, затыкать; 2) стопорить";verb;;;I can teach you how to bottle fame, brew glory, even stopper death - if you aren't as big a bunch of dunderheads as I usually have to teach.;HARRY POTTER AND THE SORCERER'S STONE (book)
straightaway;сразу же, тотчас же, немедленно;adverb;;;We don't have to go straightaway, do we?;LANGUAGE COURSES
strain;"1) тянуться; натягиваться, растягиваться; 2) напрягаться; переутомляться";verb;;;Harry couldn't make out the look on his face, but he was stuttering worse than ever. Harry strained to catch what they were saying. | Harry noticed that they seemed to be straining to escape the straps holding them inside the box.;HARRY POTTER AND THE SORCERER'S STONE (book)
strange;"1) незнакомый, неизвестный; 2) странный, необыкновенный, чудной, удивительный";adjective;;bizarre, eccentric, freak, odd, peculiar, queer, singular;;
strap;ремень, ремешок;noun;;;Harry noticed that they seemed to be straining to escape the straps holding them inside the box.;HARRY POTTER AND THE SORCERER'S STONE (book)
stray;"1) заблудиться; сбиваться с пути; 2) блуждать; плутать; бродить";verb;;ramble, wander;"""Clearly,"" said Mr. Malfoy, his pale eyes straying to Mr. and Mrs. Granger, who were watching apprehensively. | Ron's eyes strayed to the pile of Chocolate Frogs waiting to be unwrapped.";HARRY POTTER AND THE SORCERER'S STONE (book), moving (verbs)
streak;черта (характера);noun;striːk;;This may be a sign of the last-born's rebellious streak - a result of being fed up with always being bossed about by everyone else in the family.;LANGUAGE COURSES, traits
stress;"ставить ударение; подчеркивать";verb;;;;LANGUAGE COURSES
strict;"1) точный, определенный; 2) строгий, требовательный";adjective;;rigid, severe, stern;Every time you mention some guy that's strictly a bastard - very mean, or very conceited and all - and when you mention it to the girl, she'll tell you he has an inferiority complex.;
strictly for the birds;"1) никуда не годный; 2) только для несмышленышей";phrase;;;;idioms, THE CATCHER IN THE RYE (book)
stride;шагать большими шагами;verb;;;He strode over to the sofa where Dudley sat frozen with fear. | He threw his cloak over his head and strode out of the clearing.;HARRY POTTER AND THE SORCERER'S STONE (book), moving (verbs)
strike;ударять, бить (deliver a sharp blow, as with the hand, fist, or weapon);verb;;hit;;striking (verbs)
strike up;начинать (разговор);phrase;;;He and I were sitting in the first two chairs outside the goddam infirmary, the day school opened, waiting for our physicals, and we sort of struck up this conversation about tennis. | I sat next to her once in the bus from Agerstown and we sort of struck up a conversation.;phrasal verbs, THE CATCHER IN THE RYE (book)
string;"1) веревка; бечевка; шнурок; нитка; 2) струна; 3) ряд; 4) строка";noun;;cord, rope;;
stringent;"строгий; обязательный";adjective;ˈstrɪnʤənt;;"This is probably reasonable in many cases, but if ""probably"" isn't enough, you might want to apply more stringent controls.";INFORMATION TECHNOLOGIES
stroke;"гладить рукой; поглаживать";verb;;pat;He was always stroking his stomach or his chest.;THE CATCHER IN THE RYE (book)
stroll;"1) гулять, прогуливаться; бродить (walk leisurely and with no apparent aim); 2) странствовать";verb;;;Harry, Ron, and Hermione strolled off along the winding, cobbled street.;HARRY POTTER AND THE CHAMBER OF SECRETS (book), moving (verbs)
strong;"1) сильный, здоровый; 2) крепкий, прочный; 3) твердый";adjective;;fast, firm, stable, steady, tough;The door yielded to a strong push.[От сильного толчка дверь подалась.];
strut;ходить с важным, напыщенным видом;verb;;;Judging by the fact that Draco Malfoy usually had the best of everything, he could just see Malfoy strutting around a large manor house.;HARRY POTTER AND THE CHAMBER OF SECRETS (book), moving (verbs)
stub;"1) пень; 2) короткий обломок, остаток; обрубок; окурок";noun;;butt;Its spiny wings were huge compared to its skinny jet body, it had a long snout with wide nostrils, the stubs of horns and bulging, orange eyes.;HARRY POTTER AND THE SORCERER'S STONE (book)
stumble;спотыкаться, запинаться;verb;;falter;;
stump;"пень; дерево с обрезанной верхушкой";noun;;;They walked past a mossy tree stump.;HARRY POTTER AND THE SORCERER'S STONE (book), plants
stun;"1) сваливать ударом; оглушать; 2) ошеломлять, потрясти";verb;;daze;;
stupid;глупый, тупой (о человеке), бестолковый;adjective;;dopey, dull, foolish;It may sound good to jump in at the deep end but it will look plain stupid.;traits
sturgeon;"осетр; осетрина";noun;;;;fish
stutter;"1) заикаться; 2) запинаться";verb;;falter, stammer;Harry couldn't make out the look on his face, but he was stuttering worse than ever. Harry strained to catch what they were saying.;HARRY POTTER AND THE SORCERER'S STONE (book)
suave;"учтивый; обходительный; вежливый";adjective;swɔv;refined;I read this book once, at the Whooton School, that had this very sophisticated, suave, sexy guy in it.;THE CATCHER IN THE RYE (book), traits, самые сложные слова
subdued;подавленный, подчинённый, угнетённый;adjective;;;"But it was a subdued group that headed back to the fireside in the Leaky Cauldron.[В ""Дырявый котел"" вся компания вошла, понурив головы.]";appearance, HARRY POTTER AND THE CHAMBER OF SECRETS (book)
subsequent;более поздний, последующий, следующий;adjective;ˈsʌbsɪkwənt;;;LANGUAGE COURSES
substitute;"1) заместитель; 2) заменяющий игрок; 3) заменитель; суррогат";noun;;;I think the record is three months, they had to keep bringing on substitutes so the players could get some sleep.;HARRY POTTER AND THE SORCERER'S STONE (book)
substitute;заменять, использовать вместо чего-л.;verb;ˈsʌbstɪtjuːt;;In this cake mixture, you can substitute oil for butter.[В приготовлении теста для этого торта вы можете заменить сливочное масло подсолнечным.];LANGUAGE COURSES
subtle;"1) неуловимый, тонкий; едва различимый; 2) острый, проницательный; умный; искусный, ловкий; 3) хитрый, коварный";adjective;ˈsʌtl;;It turns out, the preceding code is plagued with some very subtle issues.;INFORMATION TECHNOLOGIES
suck up to;подлизываться;phrase;;;I suppose you mean we ought to spend all our time sucking up to Them, and currying favour, and dancing attendance on Them like you do.;idioms, phrasal verbs, THE SILVER CHAIR (book) 
sudden;внезапный, неожиданный;adjective;;abrupt;Harry told the other two about Snape's sudden, sinister desire to be a Quidditch referee.;
suffice to say;достаточно сказать (it is enough to say);phrase;səˈfaɪs;;Suffice to say, things get messy immediately, and the intent of our code gets more blurry by the minute.;INFORMATION TECHNOLOGIES
suggest;"предлагать; советовать";verb;;propose;An informal survey conducted on the Tokyo streets by Japan Today magazine, however, suggests that the nations' teens have other reasons for keeping hold of 'their best electric friend'. | I suggested a few drinks after work, and the whole thing snowballed into a company party.;
sulky;мрачный, надутый, угрюмый;adjective;;gloomy;The Russians seem to be very sulky people.;appearance, LANGUAGE COURSES
summon;вызвать, позвать (call in an official matter, such as to attend court) ;verb;ˈsʌmən;;We were summoned to the director's office.;education, LANGUAGE COURSES
sumptuous;"роскошный; богатый; пышный, шикарный";adjective;ˈsʌmpˌtjuəs;;On their last evening, Mrs. Weasley conjured up a sumptuous dinner that included all of Harry's favorite things, ending with a mouth-watering treacle pudding.[В последний вечер миссис Уизли устроила грандиозный обед: она сварила, нажарила, испекла все любимые кушанья Гарри. На сладкое был пудинг из патоки - пальчики оближешь!];HARRY POTTER AND THE CHAMBER OF SECRETS (book)
superficial;внешний, неглубокий, поверхностный;adjective;ˌs(j)uːpəˈfɪʃ(ə)l;;Genuine conversation will be driven out by superficial communication, in which the act of contacting one another is all that matters, leading to a deterioration in the quality of relationships.;LANGUAGE COURSES
superior;"1) лучший, превосходящий; превосходный; 2) высокомерный";adjective;;ace, splendid;He's got this superior attitude all the time.;THE CATCHER IN THE RYE (book), traits
supply;"1) снабжать, поставлять; доставлять, давать; 2) питать";verb;;provide;;
suppress;"1) пресекать; сдерживать; 2) подавлять (сопротивление)";verb;;;I'm so tired of being here suppressed by all of my childish fears.[Я больше не хочу быть здесь, угнетённая своими детскими страхами.];SONGS
surge;"1) большая волна; волны; 2) подъём, рост; всплеск (цен, активности и т. п.)";noun;;;Harry felt a hot surge of anger.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
surplus;"излишний, избыточный; добавочный";adjective;ˈsɜːpləs;;Her friend, proprietor of Tlokweng Road Speedy Motors brought her an old typewriter which was surplus to his own requirements and which worked quite well.;LANGUAGE COURSES, work
surround;окружать;verb;;beleaguer, besiege, encircle;;battle
survey;опрос, анкетирование (an examination of opinions, behaviour, etc., made by asking people questions);noun;ˈsɜːveɪ;;68 percent of children who responded to DoCoMo survey and owned a mobile phone said they got poor grades at school. | An informal survey conducted on the Tokyo streets by Japan Today magazine, however, suggests that the nations' teens have other reasons for keeping hold of 'their best electric friend'.;LANGUAGE COURSES
suspend;"1) вешать, подвешивать; 2) приостанавливать; откладывать; (временно) прекращать";verb;;;Imagine sitting at a table with a fork, about to spear the last piece of food on a platter, and as your fork reaches for it, the food suddenly vanishes - because your thread was suspended and another diner came in and ate the food.;INFORMATION TECHNOLOGIES
suspense;"беспокойство; тревога ожидания; неопределенность; нерешенность";noun;;;Suspense is good for some bastards like Stradlater.;THE CATCHER IN THE RYE (book), самые сложные слова
swain;деревенский парень, деревенщина;noun;;;He merely sprang to the side and ran stiffly ahead for several awkward leaps, in carriage and conduct resembling an abashed country swain.;odd people, WHITE FANG (book)
swallow;"1) глоток; 2) ласточка";noun;;gulp;Anyway, first he'd take a swallow and squirt it all over her, then she did it to him - they took turns, for God's sake.;birds, THE CATCHER IN THE RYE (book)
swanky;"щегольской; модный";adjective;;;You could tell, for one thing, that they never went anywhere swanky for lunch.;THE CATCHER IN THE RYE (book)
swap;"менять(ся); обменивать(ся)";verb;;;People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors. | Up at the High Table, Dumbledore had swapped his pointed wizard's hat for a flowered bonnet, and was chuckling merrily at a joke Professor Flitwick had just read him.;HARRY POTTER AND THE SORCERER'S STONE (book)
swarm;"1) рой; туча; стая; 2) толпа (a moving crowd) ";noun;;crowd, flock;;animals, birds
swarthy;смуглый;adjective;;;He had a swarthy, clever face, a pointed beard and, Harry noticed, very long fingers and feet.;appearance, HARRY POTTER AND THE SORCERER'S STONE (book)
sway;качать(ся), колебать(ся);verb;;swing;The troll swayed on the spot and then fell flat on its face, with a thud that made the whole room tremble.;
swell;"(устар.) щегольской, шикарный; отличный, замечательный, превосходный";adjective;;;He was telling us all about what a swell guy he was. | The kid was swell. He was walking in the street, instead of on the sidewalk, but right next to the curb.;THE CATCHER IN THE RYE (book)
swell;надуваться, раздуваться, набухать, разбухать, опухать;verb;;;By the next morning, Ron's bitten hand had swollen to twice its usual size.;HARRY POTTER AND THE SORCERER'S STONE (book)
swerve;отклоняться от прямого пути, сворачивать в сторону (to change direction, especially suddenly);verb;swɜːv;;The driver swerved to avoid hitting the dog.;REPEATING
swift;быстрый, скорый, борзый;adjective;;fast, prompt, quick, rapid, speedy;;
swindle;лишить путем обмана;verb;;cheat, chisel, defraud, hoodwink;;fraud
swing;"качать(ся), колебать(ся); размахивать";verb;;sway;;
swish;"свист (хлыста); взмах со свистом";noun;;;He turned on his heel and with a swish of his cloak, he was gone.;HARRY POTTER AND THE SORCERER'S STONE (book)
swoop;"устремляться вниз; налетать; бросаться";verb;;;It didn't so much as quiver when a car door slammed on the next street, nor when two owls swooped overhead. | They don't look very vicious, but I suppose if they all swooped down at once... | What a feeling - he swooped in and out of the goal posts and then sped up and down the field.;HARRY POTTER AND THE SORCERER'S STONE (book)
tabby;полосатый;adjective;;;There was a tabby cat standing on the corner of Privet Drive, but there wasn't a map in sight.;HARRY POTTER AND THE SORCERER'S STONE (book)
tack;"гвоздик с широкой шляпкой; канцелярская кнопка";noun;;;something sharp as a tack;THE CATCHER IN THE RYE (book)
tackle;биться (над какой-л. задачей), пытаться найти решение (каких-л. вопросов);verb;;;Partitioning also enables database designers and administrators to tackle some of the toughest problems posed by cutting-edge applications.;INFORMATION TECHNOLOGIES
tailcoat;фрак;noun;;;Smeltings' boys wore maroon tailcoats, orange knickerbockers, and flat straw hats called boaters.;clothes, HARRY POTTER AND THE SORCERER'S STONE (book)
tailor;портной;noun;;;He recommended the tailor he always goes to and now I wish we'd been able to try him out but unfortunately we were unable to connect with him.;clothes, LANGUAGE COURSES
take a different look at smth.;взглянуть на что-л. по другому;phrase;;;"""You took a different look at me when I showed up with twenty-seven thousand dollars,"" he said.";LANGUAGE COURSES
take advantage of smth.;воспользоваться чем-л. (to use the good things in a situation);phrase;;;Teenagers can be seen taking advantage of every spare minute to touch base with their friends. It is not the content of the communication but the act of staying in touch that matters.;idioms, LANGUAGE COURSES
take after smb.;походить на;phrase;;look like, resemble;So.. do you think Tim takes after his dad?;appearance, idioms, phrasal verbs, relationship
take a gander at smth.;(US) взглянуть (to have a quick look);phrase;;;Let's take a gander at your new car, then.;glance, idioms, INFORMATION TECHNOLOGIES
take a leak;помочиться;phrase;;relieve oneself;I figured it was some perverty bum that'd sneaked in the school late at night to take a leak or something and then wrote it on the wall.;idioms, THE CATCHER IN THE RYE (book)
take care of;заботиться о, смотреть за;phrase;;look after, tend;;
take into custody;арестовать, брать под стражу;phrase;;arrest;;violence
take one's mind off;перестать думать о чём-л.;phrase;;;He wanted that book back, to take his mind off his nerves about tomorrow.;HARRY POTTER AND THE SORCERER'S STONE (book)
take over;"вступать во владение (вместо другого лица); захватить власть (seize and take control without authority and possibly with force)";phrase;;;Haven't you heard what it was like when Voldemort was trying to take over?;HARRY POTTER AND THE SORCERER'S STONE (book)
take over from;"наследовать; перенимать";phrase;;;For a lot of us, the workplace has also taken over from the community as the place of human contact.;LANGUAGE COURSES, phrasal verbs, work
take smb. for smb.;принимать кого-то за кого-то другого;phrase;;;I am not the person you take me for.[Я не тот, за кого вы меня принимаете.] | I took him for an Englishman.[Я принял его за англичанина.];LANGUAGE COURSES, phrasal verbs
talebearer;"сплетник; доносчик, ябедник";noun;ˈteɪlˌbɜərə;;It was the voice of Edith Jackle, not one of Them herself but one of their hangers-on and talebearers.;odd people, THE SILVER CHAIR (book) 
tan;"смуглость; загар";noun;;;You are so red! How long have you been catching tan?;holidays, LANGUAGE COURSES
tangle;запутывать(ся);verb;;snarl;His face was almost completely hidden by a long, shaggy mane of hair and a wild, tangled beard, but you could make out his eyes, glinting like black beetles under all the hair.;HARRY POTTER AND THE SORCERER'S STONE (book)
tantrum;"вспышка раздражения; вспышка гнева";noun;;;Dudley was now having a tantrum and throwing his cereal at the walls. | Harry, who could see a huge Dudley tantrum coming on, began wolfing down his bacon as fast as possible in case Dudley turned the table over.;HARRY POTTER AND THE SORCERER'S STONE (book), самые сложные слова
tap;"постукивать; стучать";verb;;knock, rap;The best man tapped the side of his glass lightly with a knife to get the guests attention. | There was suddenly a loud tapping noise. | Uncle Vernon tapped on the glass, but the snake didn't budge.;HARRY POTTER AND THE SORCERER'S STONE (book), striking (verbs)
tapestry;"затканная от руки материя; гобелен";noun;ˈtæpɪstrɪ;;They ripped through a tapestry and found themselves in a hidden passageway, hurtled along it and came out near their Charms classroom.;HARRY POTTER AND THE SORCERER'S STONE (book)
tar;"мазать дегтем; смолить";verb;;pitch;tar and feather[вымазав дегтем, обвалять в перьях];
target;"1) мишень, цель; 2) задание";noun;;aim, end, goal, objective, purpose;;
tart;"пирог; домашний торт";noun;tɑːrt;;A moment later the desserts appeared. Blocks of ice cream in every flavor you could think of, apple pies, treacle tarts, chocolate eclairs and jam doughnuts, trifle, strawberries, Jell-O, rice pudding.;HARRY POTTER AND THE SORCERER'S STONE (book), meal
taunt;"насмехаться, говорить колкости; дразнить";verb;tɔːnt;;So Malfoy, jealous and angry, had gone back to taunting Harry about having no proper family.;HARRY POTTER AND THE SORCERER'S STONE (book)
